"Jahr";"Absterberate_Alle Baumarten [%]";"Absterberate_Andere Laubbäume [%]";"Absterberate_Andere Nadelbäume [%]";"Absterberate_Buche [%]";"Absterberate_Eiche [%]";"Absterberate_Fichte [%]";"Absterberate_Kiefer [%]"
1990;"0,09";"0,17";"0,21";"0,00";"0,46";"0,03";"0,07"
1991;"0,15";"0,17";"0,14";"0,15";"0,38";"0,06";"0,21"
1992;"0,04";"0,44";"0,00";"0,00";"0,00";"0,00";"0,00"
1993;"0,65";"1,27";"0,00";"0,69";"0,14";"0,80";"0,51"
1994;"0,20";"0,71";"0,14";"0,05";"0,51";"0,03";"0,26"
1995;"0,15";"0,00";"0,00";"0,00";"0,14";"0,28";"0,16"
1996;"0,14";"0,43";"0,36";"0,00";"0,00";"0,03";"0,24"
1997;"0,18";"0,10";"0,16";"0,00";"0,69";"0,05";"0,34"
1998;"0,24";"0,72";"0,25";"0,10";"0,18";"0,11";"0,29"
1999;"0,11";"0,10";"0,27";"0,00";"0,18";"0,04";"0,21"
2000;"0,13";"0,05";"0,00";"0,21";"0,34";"0,18";"0,04"
2001;"0,15";"0,21";"0,00";"0,11";"0,31";"0,11";"0,19"
2002;"0,15";"0,21";"0,16";"0,06";"0,48";"0,09";"0,16"
2003;"0,11";"0,20";"0,00";"0,00";"0,17";"0,10";"0,14"
2004;"0,20";"0,32";"0,16";"0,00";"0,17";"0,21";"0,26"
2005;"0,26";"0,80";"0,27";"0,11";"0,16";"0,11";"0,31"
2006;"0,14";"0,16";"0,43";"0,04";"0,32";"0,09";"0,15"
2007;"0,27";"0,86";"0,14";"0,00";"0,28";"0,25";"0,20"
2008;"0,13";"0,13";"0,14";"0,00";"0,42";"0,09";"0,17"
2009;"0,08";"0,06";"0,00";"0,06";"0,00";"0,12";"0,09"
2010;"0,14";"0,07";"0,15";"0,00";"0,11";"0,15";"0,25"
2011;"0,11";"0,21";"0,27";"0,06";"0,25";"0,04";"0,10"
2012;"0,18";"0,00";"0,39";"0,10";"0,52";"0,23";"0,14"
2013;"0,20";"0,29";"0,14";"0,11";"0,41";"0,15";"0,22"
2014;"0,24";"0,85";"0,00";"0,00";"0,28";"0,22";"0,15"
2015;"0,18";"0,42";"0,27";"0,06";"0,54";"0,18";"0,00"
2016;"0,23";"0,62";"0,28";"0,00";"0,13";"0,26";"0,14"
2017;"0,22";"0,27";"0,84";"0,05";"0,13";"0,15";"0,22"
2018;"0,20";"0,56";"0,57";"0,11";"0,00";"0,15";"0,07"
2019;"0,56";"1,13";"0,57";"0,33";"0,27";"0,73";"0,34"
2020;"1,73";"1,88";"1,46";"0,30";"0,41";"4,28";"0,97"
2021;"1,17";"1,47";"0,59";"0,41";"0,64";"2,63";"0,70"
2022;"1,40";"1,25";"0,14";"0,16";"0,35";"4,35";"0,62"
2023;"0,87";"1,50";"0,66";"0,31";"0,24";"1,16";"0,97"
