"Jahr";"Baumartengruppe";"Mittlere Kronenverlichtung [%]";"Standardfehler [%]"
1984;"Andere Laubbäume";" 9,9";" NA"
1985;"Andere Laubbäume";"10,3";" NA"
1986;"Andere Laubbäume";"11,9";" NA"
1987;"Andere Laubbäume";"12,1";" NA"
1988;"Andere Laubbäume";"12,0";" NA"
1989;"Andere Laubbäume";"13,3";" NA"
1990;"Andere Laubbäume";"16,1";"1,1"
1991;"Andere Laubbäume";"19,0";"2,1"
1992;"Andere Laubbäume";"21,4";"1,5"
1993;"Andere Laubbäume";"17,5";"1,5"
1994;"Andere Laubbäume";"17,5";"1,0"
1995;"Andere Laubbäume";"16,2";"1,2"
1996;"Andere Laubbäume";"16,1";"1,2"
1997;"Andere Laubbäume";"15,8";"1,3"
1998;"Andere Laubbäume";"15,1";"1,3"
1999;"Andere Laubbäume";"14,7";"1,0"
2000;"Andere Laubbäume";"14,5";"1,1"
2001;"Andere Laubbäume";"13,5";"1,0"
2002;"Andere Laubbäume";"15,8";"1,0"
2003;"Andere Laubbäume";"17,6";"0,9"
2004;"Andere Laubbäume";"19,7";"1,2"
2005;"Andere Laubbäume";"18,2";"1,2"
2006;"Andere Laubbäume";"18,2";"1,3"
2007;"Andere Laubbäume";"17,8";"1,0"
2008;"Andere Laubbäume";"16,5";"0,9"
2009;"Andere Laubbäume";"14,9";"0,8"
2010;"Andere Laubbäume";"15,5";"0,8"
2011;"Andere Laubbäume";"16,7";"1,0"
2012;"Andere Laubbäume";"15,7";"0,9"
2013;"Andere Laubbäume";"15,8";"1,0"
2014;"Andere Laubbäume";"17,8";"1,1"
2015;"Andere Laubbäume";"19,2";"1,1"
2016;"Andere Laubbäume";"20,4";"1,2"
2017;"Andere Laubbäume";"19,5";"1,0"
2018;"Andere Laubbäume";"24,9";"1,4"
2019;"Andere Laubbäume";"26,9";"1,4"
2020;"Andere Laubbäume";"25,8";"1,5"
2021;"Andere Laubbäume";"23,0";"1,3"
2022;"Andere Laubbäume";"24,0";"1,2"
2023;"Andere Laubbäume";"26,0";"1,3"
1990;"Schwarz-Erle";"14,2";"0,2"
1991;"Schwarz-Erle";"23,8";"6,2"
1992;"Schwarz-Erle";"28,3";"3,2"
1993;"Schwarz-Erle";"18,5";"2,8"
1994;"Schwarz-Erle";"18,2";"1,6"
1995;"Schwarz-Erle";"16,7";"1,5"
1996;"Schwarz-Erle";"12,3";"0,9"
1997;"Schwarz-Erle";"10,2";"2,5"
1998;"Schwarz-Erle";"14,8";"4,1"
1999;"Schwarz-Erle";"10,2";"1,8"
2000;"Schwarz-Erle";" 9,7";"1,8"
2001;"Schwarz-Erle";"11,1";"1,8"
2002;"Schwarz-Erle";"13,0";"1,6"
2003;"Schwarz-Erle";"14,6";"1,4"
2004;"Schwarz-Erle";"13,0";"1,2"
2005;"Schwarz-Erle";"10,7";"1,0"
2006;"Schwarz-Erle";"13,7";"2,5"
2007;"Schwarz-Erle";"12,0";"1,5"
2008;"Schwarz-Erle";"12,9";"1,5"
2009;"Schwarz-Erle";"13,8";"1,3"
2010;"Schwarz-Erle";"10,5";"0,7"
2011;"Schwarz-Erle";"10,3";"1,5"
2012;"Schwarz-Erle";"10,7";"2,0"
2013;"Schwarz-Erle";"12,1";"1,7"
2014;"Schwarz-Erle";"11,3";"2,1"
2015;"Schwarz-Erle";"14,3";"1,8"
2016;"Schwarz-Erle";"13,8";"1,9"
2017;"Schwarz-Erle";"14,4";"1,6"
2018;"Schwarz-Erle";"17,2";"1,7"
2019;"Schwarz-Erle";"19,5";"1,8"
2020;"Schwarz-Erle";"18,5";"2,0"
2021;"Schwarz-Erle";"15,2";"1,3"
2022;"Schwarz-Erle";"16,5";"1,4"
2023;"Schwarz-Erle";"15,4";"1,3"
