"Jahr";"Baumartengruppe";"Mittlere Kronenverlichtung [%]";"Standardfehler [%]"
1984;"Andere Nadelbäume";"22,2";" NA"
1985;"Andere Nadelbäume";"24,3";" NA"
1986;"Andere Nadelbäume";"25,2";" NA"
1987;"Andere Nadelbäume";"21,7";" NA"
1988;"Andere Nadelbäume";"19,6";" NA"
1989;"Andere Nadelbäume";"19,5";" NA"
1990;"Andere Nadelbäume";"20,1";"2,3"
1991;"Andere Nadelbäume";"20,4";"1,9"
1992;"Andere Nadelbäume";"20,6";"2,2"
1993;"Andere Nadelbäume";"21,8";"2,3"
1994;"Andere Nadelbäume";"22,0";"2,0"
1995;"Andere Nadelbäume";"21,3";"2,1"
1996;"Andere Nadelbäume";"20,3";"2,2"
1997;"Andere Nadelbäume";"18,8";"1,9"
1998;"Andere Nadelbäume";"18,8";"1,8"
1999;"Andere Nadelbäume";"18,4";"1,7"
2000;"Andere Nadelbäume";"18,7";"1,8"
2001;"Andere Nadelbäume";"18,1";"1,9"
2002;"Andere Nadelbäume";"18,9";"1,9"
2003;"Andere Nadelbäume";"19,9";"1,6"
2004;"Andere Nadelbäume";"21,0";"1,8"
2005;"Andere Nadelbäume";"19,8";"1,4"
2006;"Andere Nadelbäume";"19,9";"1,9"
2007;"Andere Nadelbäume";"20,4";"1,5"
2008;"Andere Nadelbäume";"22,2";"1,6"
2009;"Andere Nadelbäume";"19,7";"1,6"
2010;"Andere Nadelbäume";"17,6";"1,5"
2011;"Andere Nadelbäume";"18,8";"1,8"
2012;"Andere Nadelbäume";"18,7";"1,7"
2013;"Andere Nadelbäume";"17,2";"1,5"
2014;"Andere Nadelbäume";"17,7";"1,5"
2015;"Andere Nadelbäume";"17,7";"1,3"
2016;"Andere Nadelbäume";"18,4";"1,3"
2017;"Andere Nadelbäume";"17,6";"1,3"
2018;"Andere Nadelbäume";"19,8";"1,5"
2019;"Andere Nadelbäume";"23,3";"1,5"
2020;"Andere Nadelbäume";"23,2";"1,4"
2021;"Andere Nadelbäume";"22,1";"1,3"
2022;"Andere Nadelbäume";"22,0";"1,3"
2023;"Andere Nadelbäume";"22,7";"1,5"
1990;"Douglasie";" 6,8";"1,8"
1991;"Douglasie";"13,7";"3,5"
1992;"Douglasie";"10,4";"2,5"
1993;"Douglasie";"13,1";"2,2"
1994;"Douglasie";"14,8";"2,1"
1995;"Douglasie";" 7,0";"2,2"
1996;"Douglasie";" 9,9";"2,7"
1997;"Douglasie";"10,1";"2,4"
1998;"Douglasie";"10,1";"2,4"
1999;"Douglasie";"12,4";"2,5"
2000;"Douglasie";" 9,7";"2,4"
2001;"Douglasie";" 9,4";"2,7"
2002;"Douglasie";"12,5";"3,7"
2003;"Douglasie";"14,8";"3,2"
2004;"Douglasie";"14,6";"3,0"
2005;"Douglasie";"13,9";"2,7"
2006;"Douglasie";"16,6";"3,0"
2007;"Douglasie";"16,0";"2,1"
2008;"Douglasie";"17,6";"2,0"
2009;"Douglasie";"16,3";"3,4"
2010;"Douglasie";"13,2";"2,7"
2011;"Douglasie";"13,2";"2,8"
2012;"Douglasie";"12,9";"2,7"
2013;"Douglasie";"12,5";"2,1"
2014;"Douglasie";"12,4";"1,9"
2015;"Douglasie";"13,9";"2,2"
2016;"Douglasie";"14,6";"1,8"
2017;"Douglasie";"13,6";"2,3"
2018;"Douglasie";"19,6";"3,7"
2019;"Douglasie";"18,8";"2,3"
2020;"Douglasie";"20,2";"3,0"
2021;"Douglasie";"20,1";"2,5"
2022;"Douglasie";"18,5";"2,4"
2023;"Douglasie";"17,3";"2,5"
