"Jahr";"Baumartengruppe";"Mittlere Kronenverlichtung [%]";"Standardfehler [%]"
1984;"Buche";"17,0";" NA"
1985;"Buche";"15,2";" NA"
1986;"Buche";"16,6";" NA"
1987;"Buche";"20,1";" NA"
1988;"Buche";"17,2";" NA"
1989;"Buche";"17,0";" NA"
1990;"Buche";"20,3";"1,1"
1991;"Buche";"20,7";"1,1"
1992;"Buche";"24,8";"1,1"
1993;"Buche";"22,9";"1,2"
1994;"Buche";"21,7";"1,1"
1995;"Buche";"23,9";"1,1"
1996;"Buche";"22,0";"1,1"
1997;"Buche";"22,7";"1,2"
1998;"Buche";"22,0";"1,1"
1999;"Buche";"23,2";"1,1"
2000;"Buche";"25,6";"1,3"
2001;"Buche";"22,8";"1,1"
2002;"Buche";"22,3";"1,1"
2003;"Buche";"22,7";"1,0"
2004;"Buche";"30,5";"1,2"
2005;"Buche";"27,0";"1,1"
2006;"Buche";"27,7";"1,4"
2007;"Buche";"25,6";"1,0"
2008;"Buche";"22,0";"1,0"
2009;"Buche";"27,0";"1,2"
2010;"Buche";"23,3";"1,1"
2011;"Buche";"30,4";"1,2"
2012;"Buche";"24,3";"1,1"
2013;"Buche";"23,6";"1,0"
2014;"Buche";"27,6";"1,0"
2015;"Buche";"23,3";"1,0"
2016;"Buche";"28,6";"1,0"
2017;"Buche";"22,5";"1,0"
2018;"Buche";"25,1";"1,0"
2019;"Buche";"28,6";"1,2"
2020;"Buche";"31,3";"1,1"
2021;"Buche";"28,1";"1,2"
2022;"Buche";"27,5";"1,2"
2023;"Buche";"28,5";"1,2"
1984;"Eiche";"15,9";" NA"
1985;"Eiche";"17,5";" NA"
1986;"Eiche";"19,2";" NA"
1987;"Eiche";"19,2";" NA"
1988;"Eiche";"18,8";" NA"
1989;"Eiche";"20,9";" NA"
1990;"Eiche";"19,8";"1,3"
1991;"Eiche";"23,4";"2,0"
1992;"Eiche";"22,8";"1,6"
1993;"Eiche";"25,4";"1,7"
1994;"Eiche";"26,7";"1,7"
1995;"Eiche";"25,0";"1,5"
1996;"Eiche";"28,0";"1,6"
1997;"Eiche";"28,2";"1,4"
1998;"Eiche";"24,9";"1,3"
1999;"Eiche";"26,2";"1,6"
2000;"Eiche";"24,4";"1,4"
2001;"Eiche";"24,0";"1,3"
2002;"Eiche";"22,5";"1,5"
2003;"Eiche";"25,4";"1,4"
2004;"Eiche";"28,5";"2,1"
2005;"Eiche";"28,1";"1,3"
2006;"Eiche";"26,6";"1,7"
2007;"Eiche";"28,0";"1,3"
2008;"Eiche";"28,3";"1,3"
2009;"Eiche";"26,5";"1,8"
2010;"Eiche";"29,6";"1,7"
2011;"Eiche";"26,3";"1,8"
2012;"Eiche";"29,4";"1,6"
2013;"Eiche";"27,0";"1,7"
2014;"Eiche";"24,7";"1,6"
2015;"Eiche";"24,1";"1,5"
2016;"Eiche";"21,4";"1,1"
2017;"Eiche";"22,9";"1,3"
2018;"Eiche";"25,7";"1,5"
2019;"Eiche";"28,2";"1,5"
2020;"Eiche";"25,3";"1,5"
2021;"Eiche";"26,9";"1,6"
2022;"Eiche";"26,1";"1,5"
2023;"Eiche";"27,6";"1,5"
1984;"Fichte";"21,3";" NA"
1985;"Fichte";"20,0";" NA"
1986;"Fichte";"19,7";" NA"
1987;"Fichte";"17,2";" NA"
1988;"Fichte";"16,9";" NA"
1989;"Fichte";"17,6";" NA"
1990;"Fichte";"18,1";"0,9"
1991;"Fichte";"19,9";"1,0"
1992;"Fichte";"20,8";"0,9"
1993;"Fichte";"20,0";"0,9"
1994;"Fichte";"20,6";"0,9"
1995;"Fichte";"19,1";"0,9"
1996;"Fichte";"17,8";"0,9"
1997;"Fichte";"18,7";"0,9"
1998;"Fichte";"19,4";"0,8"
1999;"Fichte";"19,0";"0,8"
2000;"Fichte";"19,7";"0,8"
2001;"Fichte";"20,1";"0,8"
2002;"Fichte";"20,2";"0,8"
2003;"Fichte";"20,8";"0,8"
2004;"Fichte";"23,6";"0,9"
2005;"Fichte";"21,8";"0,8"
2006;"Fichte";"19,7";"1,3"
2007;"Fichte";"20,8";"1,0"
2008;"Fichte";"20,8";"1,0"
2009;"Fichte";"19,4";"1,0"
2010;"Fichte";"18,7";"1,0"
2011;"Fichte";"19,1";"1,0"
2012;"Fichte";"19,3";"1,0"
2013;"Fichte";"18,8";"1,0"
2014;"Fichte";"20,2";"0,9"
2015;"Fichte";"20,6";"1,0"
2016;"Fichte";"21,0";"1,0"
2017;"Fichte";"19,7";"1,0"
2018;"Fichte";"21,5";"1,0"
2019;"Fichte";"23,9";"1,0"
