"Jahr";"Baumartengruppe";"Mittlere Kronenverlichtung [%]";"Standardfehler [%]"
1984;"Alle Baumarten";"18,9";" NA"
1985;"Alle Baumarten";"17,7";" NA"
1986;"Alle Baumarten";"18,1";" NA"
1987;"Alle Baumarten";"17,7";" NA"
1988;"Alle Baumarten";"16,8";" NA"
1989;"Alle Baumarten";"17,2";" NA"
1990;"Alle Baumarten";"18,3";"0,5"
1991;"Alle Baumarten";"21,1";"0,6"
1992;"Alle Baumarten";"21,2";"0,5"
1993;"Alle Baumarten";"19,7";"0,5"
1994;"Alle Baumarten";"20,4";"0,5"
1995;"Alle Baumarten";"19,2";"0,5"
1996;"Alle Baumarten";"18,4";"0,5"
1997;"Alle Baumarten";"18,8";"0,5"
1998;"Alle Baumarten";"18,3";"0,5"
1999;"Alle Baumarten";"18,6";"0,5"
2000;"Alle Baumarten";"19,3";"0,5"
2001;"Alle Baumarten";"18,8";"0,5"
2002;"Alle Baumarten";"19,1";"0,5"
2003;"Alle Baumarten";"19,9";"0,4"
2004;"Alle Baumarten";"22,8";"0,5"
2005;"Alle Baumarten";"21,5";"0,5"
2006;"Alle Baumarten";"21,0";"0,6"
2007;"Alle Baumarten";"20,7";"0,5"
2008;"Alle Baumarten";"20,4";"0,5"
2009;"Alle Baumarten";"19,7";"0,6"
2010;"Alle Baumarten";"19,1";"0,5"
2011;"Alle Baumarten";"20,4";"0,6"
2012;"Alle Baumarten";"19,2";"0,5"
2013;"Alle Baumarten";"19,3";"0,5"
2014;"Alle Baumarten";"20,4";"0,5"
2015;"Alle Baumarten";"20,0";"0,5"
2016;"Alle Baumarten";"21,2";"0,5"
2017;"Alle Baumarten";"19,7";"0,5"
2018;"Alle Baumarten";"22,0";"0,5"
2019;"Alle Baumarten";"25,1";"0,5"
2020;"Alle Baumarten";"26,5";"0,6"
2021;"Alle Baumarten";"25,7";"0,5"
2022;"Alle Baumarten";"25,9";"0,6"
2023;"Alle Baumarten";"25,9";"0,5"
1990;"Gewoehnliche Esche";"10,7";"3,7"
1991;"Gewoehnliche Esche";"17,6";"5,0"
1992;"Gewoehnliche Esche";"18,5";"3,9"
1993;"Gewoehnliche Esche";"16,0";"3,5"
1994;"Gewoehnliche Esche";"15,3";"2,9"
1995;"Gewoehnliche Esche";"15,4";"3,4"
1996;"Gewoehnliche Esche";"17,0";"3,2"
1997;"Gewoehnliche Esche";"14,7";"3,0"
1998;"Gewoehnliche Esche";"13,6";"2,4"
1999;"Gewoehnliche Esche";"14,4";"2,2"
2000;"Gewoehnliche Esche";"12,9";"2,0"
2001;"Gewoehnliche Esche";"12,6";"1,9"
2002;"Gewoehnliche Esche";"12,0";"1,8"
2003;"Gewoehnliche Esche";"16,5";"1,8"
2004;"Gewoehnliche Esche";"15,3";"1,6"
2005;"Gewoehnliche Esche";"15,4";"2,1"
2006;"Gewoehnliche Esche";"17,2";"2,2"
2007;"Gewoehnliche Esche";"16,4";"1,9"
2008;"Gewoehnliche Esche";"16,7";"2,0"
2009;"Gewoehnliche Esche";"15,4";"2,0"
2010;"Gewoehnliche Esche";"18,9";"2,2"
2011;"Gewoehnliche Esche";"23,0";"2,6"
2012;"Gewoehnliche Esche";"20,6";"2,0"
2013;"Gewoehnliche Esche";"22,4";"1,6"
2014;"Gewoehnliche Esche";"24,4";"1,7"
2015;"Gewoehnliche Esche";"32,2";"1,9"
2016;"Gewoehnliche Esche";"29,0";"2,4"
2017;"Gewoehnliche Esche";"29,5";"2,3"
2018;"Gewoehnliche Esche";"43,4";"3,2"
2019;"Gewoehnliche Esche";"35,6";"2,9"
2020;"Gewoehnliche Esche";"40,5";"3,8"
2021;"Gewoehnliche Esche";"35,8";"3,8"
2022;"Gewoehnliche Esche";"38,2";"3,2"
2023;"Gewoehnliche Esche";"40,8";"3,3"
